"County","Sector","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Non-Residential","    6929.142376","    6938.942891","    7906.188859","    7624.948278","    8095.156563","    7870.029885","    7345.088460","    7410.655477","    7635.879610","    7593.020906","    7954.326041","    7700.744182","    7342.418997","    8182.105107","    8766.368029","    8063.871945","    8040.677492","    7773.157395","    7662.431120","    7613.366379","    7443.365995","    7736.055471","    7766.058995","    7193.581963","    7823.244481","    7769.025061","    7309.930938","    6668.237122","    7260.776432","    6822.523242","    6809.573768","    7109.299895","  242160.193355"
"ALAMEDA","Residential","    3308.259460","    3308.467553","    3015.393947","    2948.368675","    2995.051965","    2920.921179","    2897.493974","    2894.253363","    2986.226437","    2999.683662","    3024.848218","    3021.677436","    3016.750714","    2996.423893","    2971.909026","    3118.292069","    3025.275108","    2897.838896","    2937.121764","    2811.630947","    2745.213966","    2926.117980","    2890.767335","    2791.331173","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   92070.191140"
"ALAMEDA","Total","   10237.401835","   10247.410444","   10921.582806","   10573.316953","   11090.208527","   10790.951065","   10242.582434","   10304.908840","   10622.106047","   10592.704568","   10979.174259","   10722.421619","   10359.169711","   11178.529000","   11738.277054","   11182.164014","   11065.952600","   10670.996291","   10599.552884","   10424.997325","   10188.579961","   10662.173451","   10656.826330","    9984.913137","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  334230.384494"
"ALPINE","Non-Residential","       7.833966","       8.281069","       8.834189","       9.295607","       9.026261","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","       5.159971","       4.617177","       4.832369","       4.468048","       4.384382","       4.296693","       4.382027","       4.485710","       4.224083","       3.906455","       3.581764","     195.938726"
"ALPINE","Residential","      10.144969","      10.244564","      10.303433","       9.593224","      10.053618","       9.343622","      11.904472","      12.024085","      13.469417","       9.336312","       9.119062","      12.468463","      13.045979","       8.916435","       9.336177","       9.543358","       8.097052","       9.002581","       6.358634","       6.721079","       6.858448","       6.247035","       6.597345","       6.792005","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     275.196959"
"ALPINE","Total","      17.978935","      18.525633","      19.137622","      18.888831","      19.079879","      17.468364","      16.258868","      16.032474","      18.221455","      13.926474","      14.318926","      17.672246","      18.280767","      18.285050","      20.021916","      18.920431","      17.229074","      18.433810","      11.471517","      11.392818","      11.939940","      11.407006","      11.214522","      11.624374","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     471.135686"
"AMADOR","Non-Residential","     202.492316","     199.097598","     180.055291","     167.407601","     170.120960","     173.850968","     152.673577","     156.354232","     170.890839","     180.797122","     169.961139","     175.707844","     184.012851","     187.966750","     179.875760","     165.135029","     160.668935","     165.141794","     142.221056","     135.653067","     184.203332","     234.823388","     210.300322","     202.301530","     202.236642","     215.584166","     250.567387","     240.483146","     243.300856","     229.513190","     229.794500","     210.889226","    6074.082414"
"AMADOR","Residential","     159.899693","     151.826812","     138.743791","     137.221822","     143.779929","     135.749855","     132.933242","     134.842253","     139.540785","     141.108452","     140.263909","     139.932189","     142.930479","     144.125348","     142.618754","     142.547292","     134.400466","     135.642939","     129.159358","     126.437913","     121.403726","     127.238094","     124.602037","     123.223191","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    4170.034473"
"AMADOR","Total","     362.392009","     350.924409","     318.799082","     304.629423","     313.900889","     309.600823","     285.606819","     291.196485","     310.431624","     321.905574","     310.225048","     315.640033","     326.943330","     332.092098","     322.494513","     307.682321","     295.069401","     300.784733","     271.380414","     262.090980","     305.607058","     362.061481","     334.902359","     325.524721","     317.051964","     330.602083","     361.312111","     350.855821","     352.336359","     335.420249","     338.670056","     315.982614","   10244.116884"
"BUTTE","Non-Residential","     799.380453","     648.860001","     741.536583","     763.521494","     776.160341","     767.743430","     787.717750","     778.213787","     780.717168","     775.546760","     714.692261","     703.809663","     721.410425","     745.033451","     798.011915","     718.126811","     671.700789","     688.644505","     666.260324","     710.514044","     643.681863","     858.737526","     755.056133","     663.718453","     944.057618","     776.793460","     721.017567","     962.960481","     694.270068","     728.857099","     754.417745","     853.894130","   24115.064098"
"BUTTE","Residential","     757.195036","     736.395940","     662.643253","     721.603925","     764.450593","     725.366331","     716.200612","     721.202572","     731.120746","     739.696040","     726.428245","     719.375152","     731.880092","     724.229757","     715.146832","     708.603782","     685.987792","     689.773427","     658.692294","     638.674159","     604.701777","     705.766172","     629.147565","     616.781540","     597.449897","     594.667475","     559.101202","     556.276390","     551.043168","     555.149304","     553.073852","     547.901570","   21345.726492"
"BUTTE","Total","    1556.575489","    1385.255941","    1404.179837","    1485.125418","    1540.610935","    1493.109761","    1503.918362","    1499.416359","    1511.837915","    1515.242800","    1441.120507","    1423.184815","    1453.290516","    1469.263208","    1513.158747","    1426.730594","    1357.688582","    1378.417931","    1324.952618","    1349.188203","    1248.383640","    1564.503698","    1384.203698","    1280.499993","    1541.507515","    1371.460934","    1280.118768","    1519.236871","    1245.313236","    1284.006403","    1307.491598","    1401.795701","   45460.790593"
"CALAVERAS","Non-Residential","     128.425611","     124.072252","     126.322774","     130.566069","     133.626349","     118.182336","     120.464880","     127.127444","     126.923925","     125.123322","     125.688377","     117.987276","     122.356485","     119.260935","     122.200684","     123.233178","     119.914164","      99.100947","      94.783209","      97.364260","      86.515141","      81.848138","      79.783645","      76.174609","      76.243264","      69.294418","      65.145714","      86.719368","     101.921925","     107.287440","     108.402558","     105.650088","    3447.710785"
