Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,903523,-,-,-,41.89,-87.62,-6,179,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Solar Zenith Angle,Cloud Type,Precipitable Water,Wind Direction
2016,1,1,0,0,-6,0.866,8.1,89.92,-5,1000,0,161.1,4,0.488,260.8
2016,1,1,0,30,-6,0.866,8,89.92,-5,1000,0,159.68,4,0.493,260.8
2016,1,1,1,0,-6,0.866,8,87.10000000000001,-5,1000,0,156.62,4,0.499,266.6
2016,1,1,1,30,-6,0.866,7.800000000000001,87.10000000000001,-5,1000,0,152.47,1,0.508,266.6
2016,1,1,2,0,-7,0.866,7.7,90.01,-6,1000,0,147.66,4,0.518,269.8
2016,1,1,2,30,-7,0.866,7.5,89.99,-6,1000,0,142.48,4,0.514,269.8
2016,1,1,3,0,-7,0.866,7.4,87.15,-6,1000,0,137.07,4,0.51,270.5
2016,1,1,3,30,-7,0.866,7.2,87.13,-6,1000,0,131.55,4,0.486,270.5
2016,1,1,4,0,-8,0.866,7.1000000000000005,92.07000000000001,-6,1000,0,125.97,4,0.462,269.7
2016,1,1,4,30,-8,0.866,7.1000000000000005,85.26,-6,1000,0,120.4,4,0.443,269.7
2016,1,1,5,0,-8,0.866,7.1000000000000005,85.14,-6,1000,0,114.86,4,0.425,269.40000000000003
2016,1,1,5,30,-8,0.866,7.1000000000000005,85.14,-6,1000,0,109.39,4,0.41200000000000003,269.40000000000003
2016,1,1,6,0,-7,0.866,7.2,86.84,-6,1000,0,104.04,4,0.399,270.2
2016,1,1,6,30,-7,0.866,7.1000000000000005,86.84,-6,1000,0,98.82000000000001,4,0.395,270.2
2016,1,1,7,0,-7,0.866,7.1000000000000005,88.82000000000001,-6,1000,0,93.78,4,0.392,270.5
2016,1,1,7,30,-7,0.866,7,82.33,-5,1000,5,88.96000000000001,4,0.4,270.5
2016,1,1,8,0,-7,0.866,7,85.25,-5,1000,31,84.41,4,0.40800000000000003,269.5
2016,1,1,8,30,-7,0.866,6.9,79.08,-4,1000,62,80.18,4,0.433,269.5
2016,1,1,9,0,-6,0.866,6.800000000000001,82.99,-4,1000,93,76.33,4,0.459,268.5
2016,1,1,9,30,-6,0.866,6.800000000000001,77.02,-3,1000,121,72.92,4,0.498,268.5
2016,1,1,10,0,-5,0.866,6.800000000000001,81.06,-3,1000,145,70.04,4,0.537,264.8
2016,1,1,10,30,-5,0.866,6.9,81.03,-3,1000,164,67.73,4,0.562,264.8
2016,1,1,11,0,-5,0.866,7,84.31,-3,1000,178,66.08,4,0.587,260.5
2016,1,1,11,30,-5,0.866,7,78.26,-2,990,185,65.12,8,0.619,260.5
2016,1,1,12,0,-4,0.866,7.1000000000000005,81.67,-2,990,187,64.9,8,0.652,255.8
2016,1,1,12,30,-4,0.866,7.1000000000000005,81.65,-2,990,236,65.42,4,0.684,255.8
2016,1,1,13,0,-4,0.866,7.1000000000000005,85.58,-2,990,338,66.66,8,0.717,250.9
2016,1,1,13,30,-4,0.866,7.1000000000000005,79.51,-1,990,294,68.58,8,0.735,250.9
2016,1,1,14,0,-3,0.866,7.2,82.26,-1,990,253,71.13,4,0.754,243.9
2016,1,1,14,30,-3,0.866,7.300000000000001,82.26,-1,990,257,74.23,1,0.749,243.9
2016,1,1,15,0,-3,0.866,7.4,83.85000000000001,-1,990,188,77.82000000000001,1,0.744,237.10000000000002
2016,1,1,15,30,-3,0.866,7.4,83.85000000000001,-1,990,114,81.83,4,0.734,237.10000000000002
2016,1,1,16,0,-3,0.866,7.5,84.65,-1,990,45,86.2,4,0.724,233.5
2016,1,1,16,30,-3,0.866,7.5,84.66,-1,990,0,90.86,8,0.704,233.5
2016,1,1,17,0,-3,0.866,7.5,84.93,-1,990,0,95.77,8,0.685,231.20000000000002
2016,1,1,17,30,-3,0.866,7.6000000000000005,84.92,-1,990,0,100.89,4,0.659,231.20000000000002
2016,1,1,18,0,-3,0.866,7.800000000000001,85.03,-1,990,0,106.17,8,0.634,228
2016,1,1,18,30,-3,0.866,7.9,85.02,-1,990,0,111.57000000000001,8,0.607,228
2016,1,1,19,0,-3,0.866,8.1,90.39,-2,990,0,117.07000000000001,8,0.581,230.8
2016,1,1,19,30,-3,0.866,8.200000000000001,90.37,-2,990,0,122.62,4,0.5680000000000001,230.8
2016,1,1,20,0,-3,0.866,8.3,89.44,-2,990,0,128.2,4,0.555,237.9
2016,1,1,20,30,-3,0.866,8,89.43,-2,990,0,133.76,4,0.562,237.9
2016,1,1,21,0,-3,0.866,7.7,89.67,-2,990,0,139.24,4,0.5700000000000001,246.5
2016,1,1,21,30,-3,0.866,7.4,89.66,-2,990,0,144.57,4,0.561,246.5
2016,1,1,22,0,-3,0.866,7.1000000000000005,89.85000000000001,-2,990,0,149.62,4,0.552,255.4
2016,1,1,22,30,-3,0.866,7.1000000000000005,89.84,-2,990,0,154.19,1,0.52,255.4
2016,1,1,23,0,-3,0.866,7.1000000000000005,89.71000000000001,-2,990,0,157.95000000000002,4,0.489,269.6
2016,1,1,23,30,-3,0.866,6.7,89.72,-2,990,0,160.41,4,0.46,269.6
2016,1,2,0,0,-3,0.866,6.300000000000001,88.34,-2,990,0,161.03,1,0.432,280.8
2016,1,2,0,30,-3,0.866,6,88.35000000000001,-2,990,0,159.64000000000001,4,0.43,280.8
2016,1,2,1,0,-4,0.866,5.7,84.97,-2,990,0,156.6,4,0.428,288.2
2016,1,2,1,30,-4,0.866,5.4,84.98,-2,990,0,152.47,4,0.449,288.2
2016,1,2,2,0,-4,0.866,5.2,86.84,-3,990,0,147.68,4,0.47200000000000003,292.3
2016,1,2,2,30,-4,0.866,5.1000000000000005,86.83,-3,990,0,142.51,4,0.488,292.3
2016,1,2,3,0,-5,0.866,5,82.93,-3,990,0,137.11,4,0.505,291.1
2016,1,2,3,30,-5,0.866,4.9,82.92,-3,990,0,131.59,4,0.511,291.1
2016,1,2,4,0,-6,0.866,4.800000000000001,85.79,-4,990,0,126.01,4,0.517,285.1
2016,1,2,4,30,-6,0.866,4.800000000000001,85.79,-4,990,0,120.44,4,0.524,285.1
2016,1,2,5,0,-6,0.866,4.9,89.46000000000001,-5,990,0,114.9,4,0.532,277.90000000000003
2016,1,2,5,30,-6,0.866,5,89.48,-5,990,0,109.43,1,0.549,277.90000000000003
2016,1,2,6,0,-6,0.866,5.1000000000000005,87.36,-5,990,0,104.06,4,0.5670000000000001,271.3
2016,1,2,6,30,-6,0.866,5.1000000000000005,87.38,-5,990,0,98.84,4,0.581,271.3
2016,1,2,7,0,-6,0.866,5.2,93.45,-6,990,0,93.8,4,0.595,266.1
2016,1,2,7,30,-6,0.866,5.1000000000000005,86.62,-5,990,13,88.97,4,0.599,266.1
2016,1,2,8,0,-6,0.866,5.1000000000000005,89.98,-5,990,73,84.41,4,0.603,261.7
2016,1,2,8,30,-6,0.866,5.2,83.46000000000001,-4,990,148,80.17,1,0.602,261.7
2016,1,2,9,0,-5,0.866,5.4,90.79,-4,990,224,76.31,1,0.601,254.9
2016,1,2,9,30,-5,0.866,5.5,84.25,-3,990,293,72.9,4,0.599,254.9
2016,1,2,10,0,-4,0.866,5.6000000000000005,89.38,-3,990,352,70,1,0.597,245.70000000000002
2016,1,2,10,30,-4,0.866,5.800000000000001,82.95,-2,990,399,67.68,1,0.598,245.70000000000002
2016,1,2,11,0,-3,0.866,6,87.64,-2,990,433,66.01,1,0.599,237.8
2016,1,2,11,30,-3,0.866,6.300000000000001,81.38,-1,990,452,65.05,0,0.602,237.8
2016,1,2,12,0,-3,0.866,6.7,85.95,-1,990,457,64.81,0,0.606,234.60000000000002
2016,1,2,12,30,-3,0.866,7,85.9,-1,990,447,65.32000000000001,0,0.604,234.60000000000002
2016,1,2,13,0,-2,0.866,7.300000000000001,89.4,-1,990,422,66.55,0,0.602,232.5
2016,1,2,13,30,-2,0.866,7.5,83.10000000000001,0,990,384,68.46000000000001,1,0.586,232.5
2016,1,2,14,0,-2,0.866,7.800000000000001,84.52,0,990,333,71,0,0.5700000000000001,232.70000000000002
2016,1,2,14,30,-2,0.866,7.9,84.5,0,990,271,74.10000000000001,1,0.54,232.70000000000002
2016,1,2,15,0,-2,0.866,8,89.98,-1,990,200,77.69,1,0.512,232.10000000000002
2016,1,2,15,30,-2,0.866,8.1,89.95,-1,990,124,81.7,1,0.49,232.10000000000002
2016,1,2,16,0,-2,0.866,8.3,86.83,-1,990,51,86.06,4,0.468,232.8
2016,1,2,16,30,-2,0.866,8.5,86.82000000000001,-1,990,0,90.72,1,0.466,232.8
2016,1,2,17,0,-3,0.866,8.700000000000001,85,-1,990,0,95.64,1,0.465,235.20000000000002
2016,1,2,17,30,-3,0.866,8.8,85,-1,990,0,100.75,4,0.501,235.20000000000002
2016,1,2,18,0,-3,0.866,9,90.06,-2,990,0,106.03,4,0.537,240.5
2016,1,2,18,30,-3,0.866,9,90.05,-2,990,0,111.43,4,0.586,240.5
2016,1,2,19,0,-3,0.866,9,88.89,-2,990,0,116.93,1,0.635,246.10000000000002
2016,1,2,19,30,-3,0.866,8.9,88.88,-2,990,0,122.49000000000001,4,0.64,246.10000000000002
2016,1,2,20,0,-3,0.866,8.9,88.36,-2,990,0,128.06,4,0.646,253.60000000000002
2016,1,2,20,30,-3,0.866,8.700000000000001,88.36,-2,990,0,133.62,4,0.627,253.60000000000002
