"response__warnings__warning","response__warnings__description","response__total","response__dateFormat","response__frequency","response__data__period","response__data__subba","response__data__subba-name","response__data__parent","response__data__parent-name","response__data__value","response__data__value-units","response__description","request__command","request__params__frequency","request__params__data__-","request__params__sort__column","request__params__sort__direction","request__params__offset","request__params__length","request__params__api_key","apiVersion"
"incomplete return","The API can only return 5000 rows in JSON format.  Please consider constraining your request with facet, start, or end, or using offset to paginate results.","3506771","YYYY-MM-DD""T""HH24","hourly","2023-07-24T07","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","26","megawatthours","Hourly demand by balancing authority subregion.  \n    Source: Form EIA-930\n    Product: Hourly Electric Grid Monitor","/v2/electricity/rto/region-sub-ba-data/data/","hourly","value","period","desc","0","5000","RrfLu5BhC7Xd68eMk7o24sJByqLIjJlky5Adrz5v","2.1.4"
"","","","","","2023-07-24T07","VEA","Valley Electric Association","CISO","California Independent System Operator","94","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","53","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1301","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","288","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","27","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2523","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","Frep","Freeport","PNM","Public Service Company of New Mexico","34","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","14564","megawatthours","","","","","","","","","",""
