Year,Month,Day,Hour,Minute,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Wind Direction,Precipitable Water,Solar Zenith Angle,GHI,Cloud Type
2007,1,1,0,0,-8,0.158,1.3,47.800000000000004,3,940,332.1,0.759,166.39000000000001,0,0
2007,1,1,0,30,-8,0.158,1.3,47.800000000000004,3,940,332.1,0.742,163.49,0,0
2007,1,1,1,0,-8,0.158,1.4000000000000001,47.77,3,940,329.6,0.725,158.94,0,1
2007,1,1,1,30,-8,0.158,1.4000000000000001,51.34,2,940,329.6,0.709,153.58,0,1
2007,1,1,2,0,-8,0.158,1.5,50.800000000000004,2,940,328.90000000000003,0.6930000000000001,147.84,0,1
2007,1,1,2,30,-8,0.158,1.5,50.79,1,940,328.90000000000003,0.683,141.91,0,1
2007,1,1,3,0,-9,0.158,1.5,49.97,1,940,333.70000000000005,0.675,135.89000000000001,0,4
2007,1,1,3,30,-9,0.158,1.5,49.97,1,940,333.70000000000005,0.679,129.84,0,1
2007,1,1,4,0,-9,0.158,1.6,49.03,1,940,341.5,0.684,123.8,0,0
2007,1,1,4,30,-9,0.158,1.6,49.04,0,940,341.5,0.6990000000000001,117.8,0,0
2007,1,1,5,0,-9,0.158,1.7000000000000002,51.76,0,940,348.6,0.715,111.86,0,0
2007,1,1,5,30,-9,0.158,1.8,51.77,0,940,348.6,0.73,106.02,0,1
2007,1,1,6,0,-9,0.158,2,51.44,0,940,354.20000000000005,0.746,100.3,0,1
2007,1,1,6,30,-9,0.158,2.2,47.84,1,940,354.20000000000005,0.761,94.73,0,1
2007,1,1,7,0,-9,0.158,2.4000000000000004,49.93,2,940,353,0.776,89.35000000000001,0,1
2007,1,1,7,30,-9,0.158,3.4000000000000004,43.25,4,940,353,0.785,84.21000000000001,72,0
2007,1,1,8,0,-8,0.158,4.4,39.13,6,940,354.5,0.794,79.34,156,1
2007,1,1,8,30,-8,0.158,5.4,36.5,7,940,354.5,0.803,74.82000000000001,33,10
2007,1,1,9,0,-8,0.158,6.5,32.3,9,940,7.1000000000000005,0.8130000000000001,70.72,320,0
2007,1,1,9,30,-8,0.158,6.800000000000001,30.17,10,940,7.1000000000000005,0.8260000000000001,67.1,390,0
2007,1,1,10,0,-8,0.158,7.1000000000000005,28.18,11,940,7.4,0.84,64.06,446,0
2007,1,1,10,30,-8,0.158,7.1000000000000005,26.34,12,940,7.4,0.845,61.690000000000005,491,0
2007,1,1,11,0,-7,0.158,7.2,25.69,13,940,7.4,0.851,60.06,522,0
2007,1,1,11,30,-7,0.158,7.1000000000000005,25.67,13,940,7.4,0.851,59.24,537,0
2007,1,1,12,0,-7,0.158,7.1000000000000005,25.55,14,940,7.5,0.851,59.26,537,0
2007,1,1,12,30,-7,0.158,7.1000000000000005,25.54,14,940,7.5,0.856,60.13,521,0
2007,1,1,13,0,-6,0.158,7.2,27.03,14,940,7,0.862,61.800000000000004,493,0
2007,1,1,13,30,-6,0.158,7.1000000000000005,27.03,14,940,7,0.867,64.21000000000001,447,0
2007,1,1,14,0,-5,0.158,7,28.36,14,940,7.1000000000000005,0.873,67.28,387,0
2007,1,1,14,30,-5,0.158,6.300000000000001,30.3,13,940,7.1000000000000005,0.866,70.92,317,0
2007,1,1,15,0,-5,0.158,5.6000000000000005,31.68,13,940,9.9,0.86,75.05,237,0
