Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1850529,-,b'New Mexico',b'United States',35.6,-106.01,-7,1983,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Dew Point,Temperature,Cloud Type,GHI,Relative Humidity,Pressure,Surface Albedo,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,-12.4,-4,4,0,51.9,793,0.17,167.27,0.4,72,1.2000000000000002
2021,1,1,0,30,-12.4,-4.1000000000000005,8,0,52.29,793,0.17,166.47,0.4,75,1.2000000000000002
2021,1,1,1,0,-12.600000000000001,-4.1000000000000005,7,0,51.74,794,0.17,163.01,0.30000000000000004,78,1.2000000000000002
2021,1,1,1,30,-12.600000000000001,-4,7,0,51.35,794,0.17,158.12,0.30000000000000004,76,1.1
2021,1,1,2,0,-12.700000000000001,-4,8,0,50.76,794,0.17,152.58,0.30000000000000004,74,1.1
2021,1,1,2,30,-12.700000000000001,-3.9000000000000004,8,0,50.39,794,0.17,146.72,0.30000000000000004,68,1.1
2021,1,1,3,0,-12.8,-3.9000000000000004,7,0,49.89,794,0.17,140.71,0.30000000000000004,61,1
2021,1,1,3,30,-12.8,-3.9000000000000004,1,0,49.95,795,0.17,134.63,0.30000000000000004,57,1
2021,1,1,4,0,-13,-4,0,0,49.59,795,0.17,128.54,0.30000000000000004,52,0.9
2021,1,1,4,30,-13,-4.1000000000000005,1,0,49.96,795,0.17,122.46000000000001,0.30000000000000004,50,0.9
2021,1,1,5,0,-13.200000000000001,-4.1000000000000005,1,0,49.28,796,0.17,116.43,0.30000000000000004,47,0.9
2021,1,1,5,30,-13.200000000000001,-4.3,1,0,50.03,796,0.17,110.47,0.30000000000000004,45,0.9
2021,1,1,6,0,-13.4,-4.5,8,0,49.79,796,0.17,104.61,0.30000000000000004,43,0.9
2021,1,1,6,30,-13.4,-4.7,7,0,50.61,797,0.17,98.88,0.30000000000000004,39,0.9
2021,1,1,7,0,-13.4,-4.800000000000001,8,0,51,797,0.17,93.31,0.2,36,0.9
2021,1,1,7,30,-13.4,-3.7,4,13,47.01,798,0.17,87.71000000000001,0.2,34,1
2021,1,1,8,0,-12.4,-2.7,4,61,47.26,798,0.17,82.71000000000001,0.2,31,1.1
2021,1,1,8,30,-12.4,-1.3,0,208,42.63,798,0.17,77.91,0.2,43,1.2000000000000002
2021,1,1,9,0,-13.200000000000001,0.2,0,299,35.85,799,0.17,73.44,0.2,54,1.4000000000000001
2021,1,1,9,30,-13.200000000000001,1.3,0,382,33.12,799,0.17,69.4,0.2,63,1.5
2021,1,1,10,0,-14.5,2.5,0,455,27.25,799,0.17,65.86,0.2,72,1.6
2021,1,1,10,30,-14.5,3.2,0,514,25.93,799,0.17,62.93,0.2,78,1.4000000000000001
2021,1,1,11,0,-15.5,3.9000000000000004,4,360,22.84,799,0.17,60.68,0.2,85,1.1
2021,1,1,11,30,-15.5,4.3,8,409,22.18,798,0.17,59.19,0.2,102,0.9
2021,1,1,12,0,-16.2,4.7,8,501,20.38,798,0.17,58.54,0.2,119,0.6000000000000001
2021,1,1,12,30,-16.2,4.9,7,371,20.1,798,0.17,58.74,0.30000000000000004,170,0.6000000000000001
2021,1,1,13,0,-16.8,5,4,321,18.97,798,0.17,59.79,0.30000000000000004,221,0.6000000000000001
2021,1,1,13,30,-16.8,4.9,4,360,19.11,798,0.17,61.65,0.30000000000000004,236,0.8
2021,1,1,14,0,-16.1,4.800000000000001,7,342,20.32,798,0.17,64.23,0.30000000000000004,251,0.9
2021,1,1,14,30,-16.1,4.1000000000000005,7,272,21.37,799,0.17,67.47,0.30000000000000004,253,0.9
2021,1,1,15,0,-10.8,3.4000000000000004,7,150,34.43,799,0.17,71.25,0.4,254,0.8
2021,1,1,15,30,-10.8,1.6,7,81,39.12,799,0.17,75.51,0.4,253,0.9
2021,1,1,16,0,-10.9,-0.2,7,65,44.39,799,0.17,80.14,0.4,252,1
2021,1,1,16,30,-10.9,-0.2,7,32,44.39,799,0.17,85.06,0.4,252,1
2021,1,1,17,0,-12.8,-2.3000000000000003,8,0,44.25,800,0.17,89.99,0.4,260,1.2000000000000002
2021,1,1,17,30,-12.8,-2.6,7,0,45.24,800,0.17,95.92,0.4,266,1.2000000000000002
2021,1,1,18,0,-12.9,-2.9000000000000004,7,0,46.050000000000004,800,0.17,101.57000000000001,0.4,272,1.2000000000000002
2021,1,1,18,30,-12.9,-3.2,7,0,47.15,801,0.17,107.37,0.5,280,1.2000000000000002
2021,1,1,19,0,-12.8,-3.5,8,0,48.44,801,0.17,113.28,0.5,288,1.1
2021,1,1,19,30,-12.8,-3.5,8,0,48.44,801,0.17,119.27,0.5,295,1.1
2021,1,1,20,0,-12.5,-3.6,8,0,50.15,801,0.17,125.32000000000001,0.5,303,1.1
2021,1,1,20,30,-12.5,-3.4000000000000004,7,0,49.410000000000004,801,0.17,131.41,0.5,308,1.1
2021,1,1,21,0,-12,-3.3000000000000003,8,0,51.15,801,0.17,137.5,0.5,313,1.1
2021,1,1,21,30,-12,-3.3000000000000003,1,0,51.15,801,0.17,143.55,0.5,313,1.1
