Year,Month,Day,Hour,Minute,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Cloud Type,Solar Zenith Angle,Precipitable Water,Wind Direction
2011,1,1,0,0,0,0.866,3.8000000000000003,100,1,1010,0,0,162.29,2.025,245.20000000000002
2011,1,1,0,30,0,0.866,3.7,100,1,1010,0,0,161.15,1.988,245.20000000000002
2011,1,1,1,0,0,0.866,3.7,100,1,1010,0,0,158.16,1.953,247.3
2011,1,1,1,30,0,0.866,3.6,100,0,1010,0,0,153.98,1.923,247.3
2011,1,1,2,0,0,0.866,3.5,100,0,1010,0,0,149.09,1.8940000000000001,249.8
2011,1,1,2,30,0,0.866,3.3000000000000003,100,0,1010,0,1,143.81,1.877,249.8
2011,1,1,3,0,0,0.866,3.2,100,0,1010,0,0,138.31,1.86,251.4
2011,1,1,3,30,0,0.866,2.9000000000000004,100,0,1010,0,1,132.68,1.83,251.4
2011,1,1,4,0,0,0.866,2.7,100,0,1010,0,1,127.01,1.8,251.70000000000002
2011,1,1,4,30,0,0.866,2.6,100,0,1010,0,1,121.33,1.764,251.70000000000002
2011,1,1,5,0,0,0.866,2.5,100,0,1010,0,1,115.69,1.728,249.5
2011,1,1,5,30,0,0.866,2.2,100,0,1010,0,0,110.12,1.686,249.5
2011,1,1,6,0,0,0.866,2,100,1,1010,0,7,104.65,1.6440000000000001,236.5
2011,1,1,6,30,0,0.866,2,100,1,1010,0,7,99.32000000000001,1.619,236.5
2011,1,1,7,0,0,0.866,2,100,1,1010,0,4,94.16,1.594,216.60000000000002
2011,1,1,7,30,0,0.866,2.3000000000000003,100,1,1010,0,1,89.2,1.584,216.60000000000002
2011,1,1,8,0,1,0.866,2.6,100,1,1010,61,0,84.52,1.574,206.4
2011,1,1,8,30,1,0.866,2.6,100,1,1010,132,0,80.14,1.59,206.4
2011,1,1,9,0,1,0.866,2.7,98.7,2,1010,205,0,76.13,1.607,211.3
2011,1,1,9,30,1,0.866,2.7,98.73,2,1010,224,4,72.56,1.666,211.3
2011,1,1,10,0,2,0.866,2.8000000000000003,95.58,3,1010,330,0,69.5,1.726,218.10000000000002
2011,1,1,10,30,2,0.866,2.9000000000000004,95.54,3,1010,378,1,67.02,1.803,218.10000000000002
2011,1,1,11,0,2,0.866,3,98.89,4,1010,411,7,65.2,1.8800000000000001,216.70000000000002
2011,1,1,11,30,2,0.866,2.9000000000000004,98.8,4,1010,373,2,64.08,1.922,216.70000000000002
2011,1,1,12,0,3,0.866,2.9000000000000004,96.35000000000001,5,1010,377,2,63.71,1.965,204.4
2011,1,1,12,30,3,0.866,2.9000000000000004,96.31,5,1010,430,1,64.11,1.997,204.4
2011,1,1,13,0,4,0.866,3,94.11,5,1010,358,8,65.25,2.029,194.5
2011,1,1,13,30,4,0.866,2.9000000000000004,94.11,5,1010,240,7,67.09,2.065,194.5
2011,1,1,14,0,4,0.866,2.8000000000000003,97.5,5,1010,127,7,69.59,2.1,198.20000000000002
2011,1,1,14,30,4,0.866,2.7,100,4,1010,159,7,72.67,2.094,198.20000000000002
2011,1,1,15,0,4,0.866,2.7,100,4,1010,96,6,76.25,2.088,195.70000000000002
2011,1,1,15,30,2,0.866,3.1,100,3,1010,61,7,80.27,2.105,195.70000000000002
2011,1,1,16,0,2,0.866,3.5,100,3,1010,28,6,84.66,2.123,199
2011,1,1,16,30,2,0.866,3.8000000000000003,100,3,1010,0,7,89.36,2.157,199
2011,1,1,17,0,4,0.866,4.1000000000000005,100,4,1010,0,6,94.32000000000001,2.191,202.9
2011,1,1,17,30,4,0.866,4.2,100,4,1010,0,6,99.49000000000001,2.258,202.9
2011,1,1,18,0,4,0.866,4.4,100,4,1010,0,6,104.82000000000001,2.326,201.10000000000002
2011,1,1,18,30,4,0.866,4.5,100,4,1010,0,6,110.29,2.395,201.10000000000002
2011,1,1,19,0,4,0.866,4.7,100,4,1010,0,7,115.87,2.464,198.8
2011,1,1,19,30,2,0.866,4.7,100,4,1010,0,7,121.51,2.524,198.8
2011,1,1,20,0,2,0.866,4.7,100,4,1010,0,7,127.18,2.584,202.20000000000002
2011,1,1,20,30,2,0.866,4.5,100,3,1010,0,7,132.85,2.664,202.20000000000002
2011,1,1,21,0,2,0.866,4.4,100,3,1010,0,7,138.47,2.744,203.60000000000002
2011,1,1,21,30,2,0.866,4.4,100,3,1010,0,7,143.97,2.842,203.60000000000002
2011,1,1,22,0,2,0.866,4.4,100,3,1010,0,6,149.23,2.94,208.4
2011,1,1,22,30,2,0.866,4.3,100,3,1010,0,6,154.09,3.005,208.4
2011,1,1,23,0,2,0.866,4.3,100,3,1010,0,6,158.23,3.0700000000000003,215.10000000000002
2011,1,1,23,30,2,0.866,4.1000000000000005,100,3,1010,0,6,161.15,3.069,215.10000000000002
2011,1,2,0,0,2,0.866,3.9000000000000004,100,3,1010,0,6,162.21,3.068,214.10000000000002
2011,1,2,0,30,2,0.866,3.8000000000000003,100,3,1010,0,6,161.1,3.043,214.10000000000002
2011,1,2,1,0,2,0.866,3.7,100,3,1010,0,6,158.15,3.0180000000000002,207.5
2011,1,2,1,30,2,0.866,3.7,100,3,1010,0,7,153.99,2.99,207.5
2011,1,2,2,0,2,0.866,3.7,100,3,1010,0,6,149.12,2.962,206.3
2011,1,2,2,30,2,0.866,3.6,100,3,1010,0,7,143.84,2.903,206.3
2011,1,2,3,0,2,0.866,3.5,100,3,1010,0,4,138.34,2.844,210.5
2011,1,2,3,30,2,0.866,3.5,100,3,1010,0,0,132.72,2.7560000000000002,210.5
2011,1,2,4,0,2,0.866,3.5,100,3,1010,0,0,127.05,2.67,219.9
2011,1,2,4,30,2,0.866,3.4000000000000004,100,3,1010,0,4,121.37,2.583,219.9
2011,1,2,5,0,2,0.866,3.4000000000000004,100,3,1010,0,4,115.73,2.496,230.60000000000002
2011,1,2,5,30,2,0.866,3.3000000000000003,100,3,1010,0,4,110.16,2.424,230.60000000000002
2011,1,2,6,0,2,0.866,3.3000000000000003,100,3,1010,0,4,104.68,2.352,240.20000000000002
2011,1,2,6,30,2,0.866,3,100,3,1010,0,4,99.35000000000001,2.277,240.20000000000002
2011,1,2,7,0,2,0.866,2.8000000000000003,100,4,1010,0,4,94.18,2.203,258.2
2011,1,2,7,30,2,0.866,2.5,100,4,1010,0,1,89.22,2.128,258.2
2011,1,2,8,0,4,0.866,2.3000000000000003,100,5,1010,60,4,84.52,2.054,288.8
2011,1,2,8,30,4,0.866,2.2,100,5,1010,130,1,80.14,1.997,288.8
2011,1,2,9,0,4,0.866,2.1,100,6,1010,203,1,76.12,1.94,319.20000000000005
2011,1,2,9,30,4,0.866,1.9000000000000001,99.98,6,1010,48,4,72.54,1.8940000000000001,319.20000000000005
2011,1,2,10,0,5,0.866,1.7000000000000002,96.82000000000001,7,1010,71,4,69.47,1.848,335.20000000000005
2011,1,2,10,30,5,0.866,1.5,96.78,7,1010,74,4,66.97,1.825,335.20000000000005
2011,1,2,11,0,5,0.866,1.4000000000000001,92.83,7,1010,151,4,65.14,1.802,331
2011,1,2,11,30,5,0.866,1.4000000000000001,92.8,7,1010,72,4,64.01,1.855,331
2011,1,2,12,0,6,0.866,1.4000000000000001,93.41,7,1010,106,4,63.63,1.9100000000000001,312.20000000000005
2011,1,2,12,30,6,0.866,1.7000000000000002,100,7,1010,231,4,64.01,1.976,312.20000000000005
2011,1,2,13,0,5,0.866,2.1,98.24000000000001,7,1010,150,4,65.14,2.041,308.1
2011,1,2,13,30,5,0.866,2.2,98.19,6,1010,99,4,66.98,2.056,308.1
2011,1,2,14,0,5,0.866,2.3000000000000003,96.73,6,1010,213,4,69.47,2.07,329
2011,1,2,14,30,4,0.866,2.2,100,5,1010,175,4,72.54,2.091,329
2011,1,2,15,0,4,0.866,2.2,97.42,5,1010,12,4,76.12,2.114,315.8
2011,1,2,15,30,4,0.866,2.1,100,4,1010,8,4,80.14,1.994,315.8
2011,1,2,16,0,2,0.866,2,100,4,1010,3,4,84.52,1.8760000000000001,302.6
2011,1,2,16,30,2,0.866,1.8,100,3,1010,0,8,89.22,1.7,302.6
2011,1,2,17,0,2,0.866,1.6,100,3,1010,0,7,94.18,1.5250000000000001,300.6
2011,1,2,17,30,2,0.866,2.1,100,3,1010,0,7,99.35000000000001,1.413,300.6
2011,1,2,18,0,2,0.866,2.6,100,3,1010,0,4,104.68,1.302,283.3
2011,1,2,18,30,2,0.866,3.1,100,2,1010,0,8,110.15,1.179,283.3
2011,1,2,19,0,2,0.866,3.7,100,2,1010,0,8,115.73,1.057,277.5
